AccountNumber	FinalChecksum	RawChecksum
03720010259	6	5
03720010260	9	2
03720010261	7	4
03720010262	5	6
03720010263	3	8
03720010264	1	10
03720010265	-1	1
03720010266	8	3
03720010267	6	5
03720010268	4	7
03720010269	2	9
03720010270	5	6
03720010271	3	8
03720010272	1	10
03720010273	-1	1
03720010274	8	3
03720010275	6	5
03720010276	4	7
03720010277	2	9
03720010278	0	0
03720010279	9	2
03720010280	1	10
03720010281	-1	1
03720010282	8	3
03720010283	6	5
03720010284	4	7
03720010285	2	9
03720010286	0	0
03720010287	9	2
03720010288	7	4
03720010289	5	6
03720010290	8	3
03720010291	6	5
03720010292	4	7
03720010293	2	9
03720010294	0	0
03720010295	9	2
03720010296	7	4
03720010297	5	6
03720010298	3	8
03720010299	1	10
03720010300	3	8
03720010301	1	10
03720010302	-1	1
03720010303	8	3
03720010304	6	5
03720010305	4	7
03720010306	2	9
03720010307	0	0
03720010308	9	2
03720010309	7	4
03720010310	-1	1
03720010311	8	3
03720010312	6	5
03720010313	4	7
03720010314	2	9
03720010315	0	0
03720010316	9	2
03720010317	7	4
03720010318	5	6
03720010319	3	8
03720010320	6	5
03720010321	4	7
03720010322	2	9
03720010323	0	0
03720010324	9	2
03720010325	7	4
03720010326	5	6
03720010327	3	8
03720010328	1	10
03720010329	-1	1
03720010330	2	9
03720010331	0	0
03720010332	9	2
03720010333	7	4
03720010334	5	6
03720010335	3	8
03720010336	1	10
03720010337	-1	1
03720010338	8	3
03720010339	6	5
03720010340	9	2
03720010341	7	4
03720010342	5	6
03720010343	3	8
03720010344	1	10
03720010345	-1	1
03720010346	8	3
03720010347	6	5
03720010348	4	7
03720010349	2	9
03720010350	5	6
03720010351	3	8
03720010352	1	10
03720010353	-1	1
03720010354	8	3
03720010355	6	5
03720010356	4	7
03720010357	2	9
03720010358	0	0
03720010359	9	2
03720010360	1	10
03720010361	-1	1
03720010362	8	3
03720010363	6	5
03720010364	4	7
03720010365	2	9
03720010366	0	0
03720010367	9	2
03720010368	7	4
03720010369	5	6
03720010370	8	3
03720010371	6	5
03720010372	4	7
03720010373	2	9
03720010374	0	0
03720010375	9	2
03720010376	7	4
03720010377	5	6
03720010378	3	8
03720010379	1	10
03720010380	4	7
03720010381	2	9
03720010382	0	0
03720010383	9	2
03720010384	7	4
03720010385	5	6
03720010386	3	8
03720010387	1	10
03720010388	-1	1
03720010389	8	3
03720010390	0	0
03720010391	9	2
03720010392	7	4
03720010393	5	6
03720010394	3	8
03720010395	1	10
03720010396	-1	1
03720010397	8	3
03720010398	6	5
03720010399	4	7
03720010400	6	5
03720010401	4	7
03720010402	2	9
03720010403	0	0
03720010404	9	2
03720010405	7	4
03720010406	5	6
03720010407	3	8
03720010408	1	10
03720010409	-1	1
03720010410	2	9
03720010411	0	0
03720010412	9	2
03720010413	7	4
03720010414	5	6
03720010415	3	8
03720010416	1	10
03720010417	-1	1
03720010418	8	3
03720010419	6	5
03720010420	9	2
03720010421	7	4
03720010422	5	6
03720010423	3	8
03720010424	1	10
03720010425	-1	1
03720010426	8	3
03720010427	6	5
03720010428	4	7
03720010429	2	9
03720010430	5	6
03720010431	3	8
03720010432	1	10
03720010433	-1	1
03720010434	8	3
03720010435	6	5
03720010436	4	7
03720010437	2	9
03720010438	0	0
03720010439	9	2
03720010440	1	10
03720010441	-1	1
03720010442	8	3
03720010443	6	5
03720010444	4	7
03720010445	2	9
03720010446	0	0
03720010447	9	2
03720010448	7	4
03720010449	5	6
03720010450	8	3
03720010451	6	5
03720010452	4	7
03720010453	2	9
03720010454	0	0
03720010455	9	2
03720010456	7	4
03720010457	5	6
03720010458	3	8
03720010459	1	10
03720010460	4	7
03720010461	2	9
03720010462	0	0
03720010463	9	2
03720010464	7	4
03720010465	5	6
03720010466	3	8
03720010467	1	10
03720010468	-1	1
03720010469	8	3
03720010470	0	0
03720010471	9	2
03720010472	7	4
03720010473	5	6
03720010474	3	8
03720010475	1	10
03720010476	-1	1
03720010477	8	3
03720010478	6	5
03720010479	4	7
03720010480	7	4
03720010481	5	6
03720010482	3	8
03720010483	1	10
03720010484	-1	1
03720010485	8	3
03720010486	6	5
03720010487	4	7
03720010488	2	9
03720010489	0	0
03720010490	3	8
03720010491	1	10
03720010492	-1	1
03720010493	8	3
03720010494	6	5
03720010495	4	7
03720010496	2	9
03720010497	0	0
03720010498	9	2
03720010499	7	4
03720010500	9	2
03720010501	7	4
03720010502	5	6
03720010503	3	8
03720010504	1	10
03720010505	-1	1
03720010506	8	3
03720010507	6	5
03720010508	4	7
03720010509	2	9
03720010510	5	6
03720010511	3	8
03720010512	1	10
03720010513	-1	1
03720010514	8	3
03720010515	6	5
03720010516	4	7
03720010517	2	9
03720010518	0	0
03720010519	9	2
03720010520	1	10
03720010521	-1	1
03720010522	8	3
03720010523	6	5
03720010524	4	7
03720010525	2	9
03720010526	0	0
03720010527	9	2
03720010528	7	4
03720010529	5	6
03720010530	8	3
03720010531	6	5
03720010532	4	7
03720010533	2	9
03720010534	0	0
03720010535	9	2
03720010536	7	4
03720010537	5	6
03720010538	3	8
03720010539	1	10
03720010540	4	7
03720010541	2	9
03720010542	0	0
03720010543	9	2
03720010544	7	4
03720010545	5	6
03720010546	3	8
03720010547	1	10
03720010548	-1	1
03720010549	8	3
03720010550	0	0
03720010551	9	2
03720010552	7	4
03720010553	5	6
03720010554	3	8
03720010555	1	10
03720010556	-1	1
03720010557	8	3
03720010558	6	5
03720010559	4	7
03720010560	7	4
03720010561	5	6
03720010562	3	8
03720010563	1	10
03720010564	-1	1
03720010565	8	3
03720010566	6	5
03720010567	4	7
03720010568	2	9
03720010569	0	0
03720010570	3	8
03720010571	1	10
03720010572	-1	1
03720010573	8	3
03720010574	6	5
03720010575	4	7
03720010576	2	9
03720010577	0	0
03720010578	9	2
03720010579	7	4
03720010580	-1	1
03720010581	8	3
03720010582	6	5
03720010583	4	7
03720010584	2	9
03720010585	0	0
03720010586	9	2
03720010587	7	4
03720010588	5	6
03720010589	3	8
03720010590	6	5
03720010591	4	7
03720010592	2	9
03720010593	0	0
03720010594	9	2
03720010595	7	4
03720010596	5	6
03720010597	3	8
03720010598	1	10
03720010599	-1	1
03720010600	1	10
03720010601	-1	1
03720010602	8	3
03720010603	6	5
03720010604	4	7
03720010605	2	9
03720010606	0	0
03720010607	9	2
03720010608	7	4
03720010609	5	6
03720010610	8	3
03720010611	6	5
03720010612	4	7
03720010613	2	9
03720010614	0	0
03720010615	9	2
03720010616	7	4
03720010617	5	6
03720010618	3	8
03720010619	1	10
03720010620	4	7
03720010621	2	9
03720010622	0	0
03720010623	9	2
03720010624	7	4
03720010625	5	6
03720010626	3	8
03720010627	1	10
03720010628	-1	1
03720010629	8	3
03720010630	0	0
03720010631	9	2
03720010632	7	4
03720010633	5	6
03720010634	3	8
03720010635	1	10
03720010636	-1	1
03720010637	8	3
03720010638	6	5
03720010639	4	7
03720010640	7	4
03720010641	5	6
03720010642	3	8
03720010643	1	10
03720010644	-1	1
03720010645	8	3
03720010646	6	5
03720010647	4	7
03720010648	2	9
03720010649	0	0
03720010650	3	8
03720010651	1	10
03720010652	-1	1
03720010653	8	3
03720010654	6	5
03720010655	4	7
03720010656	2	9
03720010657	0	0
03720010658	9	2
03720010659	7	4
03720010660	-1	1
03720010661	8	3
03720010662	6	5
03720010663	4	7
03720010664	2	9
03720010665	0	0
03720010666	9	2
03720010667	7	4
03720010668	5	6
03720010669	3	8
03720010670	6	5
03720010671	4	7
03720010672	2	9
03720010673	0	0
03720010674	9	2
03720010675	7	4
03720010676	5	6
03720010677	3	8
03720010678	1	10
03720010679	-1	1
03720010680	2	9
03720010681	0	0
03720010682	9	2
03720010683	7	4
03720010684	5	6
03720010685	3	8
03720010686	1	10
03720010687	-1	1
03720010688	8	3
03720010689	6	5
03720010690	9	2
03720010691	7	4
03720010692	5	6
03720010693	3	8
03720010694	1	10
03720010695	-1	1
03720010696	8	3
03720010697	6	5
03720010698	4	7
03720010699	2	9
03720010700	4	7
03720010701	2	9
03720010702	0	0
03720010703	9	2
03720010704	7	4
03720010705	5	6
03720010706	3	8
03720010707	1	10
03720010708	-1	1
03720010709	8	3
03720010710	0	0
03720010711	9	2
03720010712	7	4
03720010713	5	6
03720010714	3	8
03720010715	1	10
03720010716	-1	1
03720010717	8	3
03720010718	6	5
03720010719	4	7
03720010720	7	4
03720010721	5	6
03720010722	3	8
03720010723	1	10
03720010724	-1	1
03720010725	8	3
03720010726	6	5
03720010727	4	7
03720010728	2	9
03720010729	0	0
03720010730	3	8
03720010731	1	10
03720010732	-1	1
03720010733	8	3
03720010734	6	5
03720010735	4	7
03720010736	2	9
03720010737	0	0
03720010738	9	2
03720010739	7	4
03720010740	-1	1
03720010741	8	3
03720010742	6	5
03720010743	4	7
03720010744	2	9
03720010745	0	0
03720010746	9	2
03720010747	7	4
03720010748	5	6
03720010749	3	8
03720010750	6	5
03720010751	4	7
03720010752	2	9
03720010753	0	0
03720010754	9	2
03720010755	7	4
03720010756	5	6
03720010757	3	8
03720010758	1	10
03720010759	-1	1
03720010760	2	9
03720010761	0	0
03720010762	9	2
03720010763	7	4
03720010764	5	6
03720010765	3	8
03720010766	1	10
03720010767	-1	1
03720010768	8	3
03720010769	6	5
03720010770	9	2
03720010771	7	4
03720010772	5	6
03720010773	3	8
03720010774	1	10
03720010775	-1	1
03720010776	8	3
03720010777	6	5
03720010778	4	7
03720010779	2	9
03720010780	5	6
03720010781	3	8
03720010782	1	10
03720010783	-1	1
03720010784	8	3
03720010785	6	5
03720010786	4	7
03720010787	2	9
03720010788	0	0
03720010789	9	2
03720010790	1	10
03720010791	-1	1
03720010792	8	3
03720010793	6	5
03720010794	4	7
03720010795	2	9
03720010796	0	0
03720010797	9	2
03720010798	7	4
03720010799	5	6
03720010800	7	4
03720010801	5	6
03720010802	3	8
03720010803	1	10
03720010804	-1	1
03720010805	8	3
03720010806	6	5
03720010807	4	7
03720010808	2	9
03720010809	0	0
03720010810	3	8
03720010811	1	10
03720010812	-1	1
03720010813	8	3
03720010814	6	5
03720010815	4	7
03720010816	2	9
03720010817	0	0
03720010818	9	2
03720010819	7	4
03720010820	-1	1
03720010821	8	3
03720010822	6	5
03720010823	4	7
03720010824	2	9
03720010825	0	0
03720010826	9	2
03720010827	7	4
03720010828	5	6
03720010829	3	8
03720010830	6	5
03720010831	4	7
03720010832	2	9
03720010833	0	0
03720010834	9	2
03720010835	7	4
03720010836	5	6
03720010837	3	8
03720010838	1	10
03720010839	-1	1
03720010840	2	9
03720010841	0	0
03720010842	9	2
03720010843	7	4
03720010844	5	6
03720010845	3	8
03720010846	1	10
03720010847	-1	1
03720010848	8	3
03720010849	6	5
03720010850	9	2
03720010851	7	4
03720010852	5	6
03720010853	3	8
03720010854	1	10
03720010855	-1	1
03720010856	8	3
03720010857	6	5
03720010858	4	7
03720010859	2	9
03720010860	5	6
03720010861	3	8
03720010862	1	10
03720010863	-1	1
03720010864	8	3
03720010865	6	5
03720010866	4	7
03720010867	2	9
03720010868	0	0
03720010869	9	2
03720010870	1	10
03720010871	-1	1
03720010872	8	3
03720010873	6	5
03720010874	4	7
03720010875	2	9
03720010876	0	0
03720010877	9	2
03720010878	7	4
03720010879	5	6
03720010880	8	3
03720010881	6	5
03720010882	4	7
03720010883	2	9
03720010884	0	0
03720010885	9	2
03720010886	7	4
03720010887	5	6
03720010888	3	8
03720010889	1	10
03720010890	4	7
03720010891	2	9
03720010892	0	0
03720010893	9	2
03720010894	7	4
03720010895	5	6
03720010896	3	8
03720010897	1	10
03720010898	-1	1
03720010899	8	3
03720010900	-1	1
03720010901	8	3
03720010902	6	5
03720010903	4	7
03720010904	2	9
03720010905	0	0
03720010906	9	2
03720010907	7	4
03720010908	5	6
03720010909	3	8
03720010910	6	5
03720010911	4	7
03720010912	2	9
03720010913	0	0
03720010914	9	2
03720010915	7	4
03720010916	5	6
03720010917	3	8
03720010918	1	10
03720010919	-1	1
03720010920	2	9
03720010921	0	0
03720010922	9	2
03720010923	7	4
03720010924	5	6
03720010925	3	8
03720010926	1	10
03720010927	-1	1
03720010928	8	3
03720010929	6	5
03720010930	9	2
03720010931	7	4
03720010932	5	6
03720010933	3	8
03720010934	1	10
03720010935	-1	1
03720010936	8	3
03720010937	6	5
03720010938	4	7
03720010939	2	9
03720010940	5	6
03720010941	3	8
03720010942	1	10
03720010943	-1	1
03720010944	8	3
03720010945	6	5
03720010946	4	7
03720010947	2	9
03720010948	0	0
03720010949	9	2
03720010950	1	10
03720010951	-1	1
03720010952	8	3
03720010953	6	5
03720010954	4	7
03720010955	2	9
03720010956	0	0
03720010957	9	2
03720010958	7	4
03720010959	5	6
03720010960	8	3
03720010961	6	5
03720010962	4	7
03720010963	2	9
03720010964	0	0
03720010965	9	2
03720010966	7	4
03720010967	5	6
03720010968	3	8
03720010969	1	10
03720010970	4	7
03720010971	2	9
03720010972	0	0
03720010973	9	2
03720010974	7	4
03720010975	5	6
03720010976	3	8
03720010977	1	10
03720010978	-1	1
03720010979	8	3
03720010980	0	0
03720010981	9	2
03720010982	7	4
03720010983	5	6
03720010984	3	8
03720010985	1	10
03720010986	-1	1
03720010987	8	3
03720010988	6	5
03720010989	4	7
03720010990	7	4
03720010991	5	6
03720010992	3	8
03720010993	1	10
03720010994	-1	1
03720010995	8	3
03720010996	6	5
03720010997	4	7
03720010998	2	9
03720010999	0	0
03720011000	0	0
03720011001	9	2
03720011002	7	4
03720011003	5	6
03720011004	3	8
03720011005	1	10
03720011006	-1	1
03720011007	8	3
03720011008	6	5
03720011009	4	7
03720011010	7	4
03720011011	5	6
03720011012	3	8
03720011013	1	10
03720011014	-1	1
03720011015	8	3
03720011016	6	5
03720011017	4	7
03720011018	2	9
03720011019	0	0
03720011020	3	8
03720011021	1	10
03720011022	-1	1
03720011023	8	3
03720011024	6	5
03720011025	4	7
03720011026	2	9
03720011027	0	0
03720011028	9	2
03720011029	7	4
03720011030	-1	1
03720011031	8	3
03720011032	6	5
03720011033	4	7
03720011034	2	9
03720011035	0	0
03720011036	9	2
03720011037	7	4
03720011038	5	6
03720011039	3	8
03720011040	6	5
03720011041	4	7
03720011042	2	9
03720011043	0	0
03720011044	9	2
03720011045	7	4
03720011046	5	6
03720011047	3	8
03720011048	1	10
03720011049	-1	1
03720011050	2	9
03720011051	0	0
03720011052	9	2
03720011053	7	4
03720011054	5	6
03720011055	3	8
03720011056	1	10
03720011057	-1	1
03720011058	8	3
03720011059	6	5
03720011060	9	2
03720011061	7	4
03720011062	5	6
03720011063	3	8
03720011064	1	10
03720011065	-1	1
03720011066	8	3
03720011067	6	5
03720011068	4	7
03720011069	2	9
03720011070	5	6
03720011071	3	8
03720011072	1	10
03720011073	-1	1
03720011074	8	3
03720011075	6	5
03720011076	4	7
03720011077	2	9
03720011078	0	0
03720011079	9	2
03720011080	1	10
03720011081	-1	1
03720011082	8	3
03720011083	6	5
03720011084	4	7
03720011085	2	9
03720011086	0	0
03720011087	9	2
03720011088	7	4
03720011089	5	6
03720011090	8	3
03720011091	6	5
03720011092	4	7
03720011093	2	9
03720011094	0	0
03720011095	9	2
03720011096	7	4
03720011097	5	6
03720011098	3	8
03720011099	1	10
03720011100	3	8
03720011101	1	10
03720011102	-1	1
03720011103	8	3
03720011104	6	5
03720011105	4	7
03720011106	2	9
03720011107	0	0
03720011108	9	2
03720011109	7	4
03720011110	-1	1
03720011111	8	3
03720011112	6	5
03720011113	4	7
03720011114	2	9
03720011115	0	0
03720011116	9	2
03720011117	7	4
03720011118	5	6
03720011119	3	8
03720011120	6	5
03720011121	4	7
03720011122	2	9
03720011123	0	0
03720011124	9	2
03720011125	7	4
03720011126	5	6
03720011127	3	8
03720011128	1	10
03720011129	-1	1
03720011130	2	9
03720011131	0	0
03720011132	9	2
03720011133	7	4
03720011134	5	6
03720011135	3	8
03720011136	1	10
03720011137	-1	1
03720011138	8	3
03720011139	6	5
03720011140	9	2
03720011141	7	4
03720011142	5	6
03720011143	3	8
03720011144	1	10
03720011145	-1	1
03720011146	8	3
03720011147	6	5
03720011148	4	7
03720011149	2	9
03720011150	5	6
03720011151	3	8
03720011152	1	10
03720011153	-1	1
03720011154	8	3
03720011155	6	5
03720011156	4	7
03720011157	2	9
03720011158	0	0
03720011159	9	2
03720011160	1	10
03720011161	-1	1
03720011162	8	3
03720011163	6	5
03720011164	4	7
03720011165	2	9
03720011166	0	0
03720011167	9	2
03720011168	7	4
03720011169	5	6
03720011170	8	3
03720011171	6	5
03720011172	4	7
03720011173	2	9
03720011174	0	0
03720011175	9	2
03720011176	7	4
03720011177	5	6
03720011178	3	8
03720011179	1	10
03720011180	4	7
03720011181	2	9
03720011182	0	0
03720011183	9	2
03720011184	7	4
03720011185	5	6
03720011186	3	8
03720011187	1	10
03720011188	-1	1
03720011189	8	3
03720011190	0	0
03720011191	9	2
03720011192	7	4
03720011193	5	6
03720011194	3	8
03720011195	1	10
03720011196	-1	1
03720011197	8	3
03720011198	6	5
03720011199	4	7
03720011200	6	5
03720011201	4	7
03720011202	2	9
03720011203	0	0
03720011204	9	2
03720011205	7	4
03720011206	5	6
03720011207	3	8
03720011208	1	10
03720011209	-1	1
03720011210	2	9
03720011211	0	0
03720011212	9	2
03720011213	7	4
03720011214	5	6
03720011215	3	8
03720011216	1	10
03720011217	-1	1
03720011218	8	3
03720011219	6	5
03720011220	9	2
03720011221	7	4
03720011222	5	6
03720011223	3	8
03720011224	1	10
03720011225	-1	1
03720011226	8	3
03720011227	6	5
03720011228	4	7
03720011229	2	9
03720011230	5	6
03720011231	3	8
03720011232	1	10
03720011233	-1	1
03720011234	8	3
03720011235	6	5
03720011236	4	7
03720011237	2	9
03720011238	0	0
03720011239	9	2
03720011240	1	10
03720011241	-1	1
03720011242	8	3
03720011243	6	5
03720011244	4	7
03720011245	2	9
03720011246	0	0
03720011247	9	2
03720011248	7	4
03720011249	5	6
03720011250	8	3
03720011251	6	5
03720011252	4	7
03720011253	2	9
03720011254	0	0
03720011255	9	2
03720011256	7	4
03720011257	5	6
03720011258	3	8
03720011259	1	10
03720011260	4	7
03720011261	2	9
03720011262	0	0
03720011263	9	2
03720011264	7	4
03720011265	5	6
03720011266	3	8
03720011267	1	10
03720011268	-1	1
03720011269	8	3
03720011270	0	0
03720011271	9	2
03720011272	7	4
03720011273	5	6
03720011274	3	8
03720011275	1	10
03720011276	-1	1
03720011277	8	3
03720011278	6	5
03720011279	4	7
03720011280	7	4
03720011281	5	6
03720011282	3	8
03720011283	1	10
03720011284	-1	1
03720011285	8	3
03720011286	6	5
03720011287	4	7
03720011288	2	9
03720011289	0	0
03720011290	3	8
03720011291	1	10
03720011292	-1	1
03720011293	8	3
03720011294	6	5
03720011295	4	7
03720011296	2	9
03720011297	0	0
03720011298	9	2
03720011299	7	4
03720011300	9	2
03720011301	7	4
03720011302	5	6
03720011303	3	8
03720011304	1	10
03720011305	-1	1
03720011306	8	3
03720011307	6	5
03720011308	4	7
03720011309	2	9
03720011310	5	6
03720011311	3	8
03720011312	1	10
03720011313	-1	1
03720011314	8	3
03720011315	6	5
03720011316	4	7
03720011317	2	9
03720011318	0	0
03720011319	9	2
03720011320	1	10
03720011321	-1	1
03720011322	8	3
03720011323	6	5
03720011324	4	7
03720011325	2	9
03720011326	0	0
03720011327	9	2
03720011328	7	4
03720011329	5	6
03720011330	8	3
03720011331	6	5
03720011332	4	7
03720011333	2	9
03720011334	0	0
03720011335	9	2
03720011336	7	4
03720011337	5	6
03720011338	3	8
03720011339	1	10
03720011340	4	7
03720011341	2	9
03720011342	0	0
03720011343	9	2
03720011344	7	4
03720011345	5	6
03720011346	3	8
03720011347	1	10
03720011348	-1	1
03720011349	8	3
03720011350	0	0
03720011351	9	2
03720011352	7	4
03720011353	5	6
03720011354	3	8
03720011355	1	10
03720011356	-1	1
03720011357	8	3
03720011358	6	5
03720011359	4	7
03720011360	7	4
03720011361	5	6
03720011362	3	8
03720011363	1	10
03720011364	-1	1
03720011365	8	3
03720011366	6	5
03720011367	4	7
03720011368	2	9
03720011369	0	0
03720011370	3	8
03720011371	1	10
03720011372	-1	1
03720011373	8	3
03720011374	6	5
03720011375	4	7
03720011376	2	9
03720011377	0	0
03720011378	9	2
03720011379	7	4
03720011380	-1	1
03720011381	8	3
03720011382	6	5
03720011383	4	7
03720011384	2	9
03720011385	0	0
03720011386	9	2
03720011387	7	4
03720011388	5	6
03720011389	3	8
03720011390	6	5
03720011391	4	7
03720011392	2	9
03720011393	0	0
03720011394	9	2
03720011395	7	4
03720011396	5	6
03720011397	3	8
03720011398	1	10
03720011399	-1	1
03720011400	1	10
03720011401	-1	1
03720011402	8	3
03720011403	6	5
03720011404	4	7
03720011405	2	9
03720011406	0	0
03720011407	9	2
03720011408	7	4
03720011409	5	6
03720011410	8	3
03720011411	6	5
03720011412	4	7
03720011413	2	9
03720011414	0	0
03720011415	9	2
03720011416	7	4
03720011417	5	6
03720011418	3	8
03720011419	1	10
03720011420	4	7
03720011421	2	9
03720011422	0	0
03720011423	9	2
03720011424	7	4
03720011425	5	6
03720011426	3	8
03720011427	1	10
03720011428	-1	1
03720011429	8	3
03720011430	0	0
03720011431	9	2
03720011432	7	4
03720011433	5	6
03720011434	3	8
03720011435	1	10
03720011436	-1	1
03720011437	8	3
03720011438	6	5
03720011439	4	7
03720011440	7	4
03720011441	5	6
03720011442	3	8
03720011443	1	10
03720011444	-1	1
03720011445	8	3
03720011446	6	5
03720011447	4	7
03720011448	2	9
03720011449	0	0
03720011450	3	8
03720011451	1	10
03720011452	-1	1
03720011453	8	3
03720011454	6	5
03720011455	4	7
03720011456	2	9
03720011457	0	0
03720011458	9	2
03720011459	7	4
03720011460	-1	1
03720011461	8	3
03720011462	6	5
03720011463	4	7
03720011464	2	9
03720011465	0	0
03720011466	9	2
03720011467	7	4
03720011468	5	6
03720011469	3	8
03720011470	6	5
03720011471	4	7
03720011472	2	9
03720011473	0	0
03720011474	9	2
03720011475	7	4
03720011476	5	6
03720011477	3	8
03720011478	1	10
03720011479	-1	1
03720011480	2	9
03720011481	0	0
03720011482	9	2
03720011483	7	4
03720011484	5	6
03720011485	3	8
03720011486	1	10
03720011487	-1	1
03720011488	8	3
03720011489	6	5
03720011490	9	2
03720011491	7	4
03720011492	5	6
03720011493	3	8
03720011494	1	10
03720011495	-1	1
03720011496	8	3
03720011497	6	5
03720011498	4	7
03720011499	2	9
03720011500	4	7
03720011501	2	9
03720011502	0	0
03720011503	9	2
03720011504	7	4
03720011505	5	6
03720011506	3	8
03720011507	1	10
03720011508	-1	1
03720011509	8	3
03720011510	0	0
03720011511	9	2
03720011512	7	4
03720011513	5	6
03720011514	3	8
03720011515	1	10
03720011516	-1	1
03720011517	8	3
03720011518	6	5
03720011519	4	7
03720011520	7	4
03720011521	5	6
03720011522	3	8
03720011523	1	10
03720011524	-1	1
03720011525	8	3
03720011526	6	5
03720011527	4	7
03720011528	2	9
03720011529	0	0
03720011530	3	8
03720011531	1	10
03720011532	-1	1
03720011533	8	3
03720011534	6	5
